part_used,part_name,,,,,,,,,,,,,,,,,,
DUNTKG677FM01,IR_UNIT,,,,,,,,,,,,,,,,,,
DUNTKG677FM03,IR_UNIT,,,,,,,,,,,,,,,,,,
DUNTKG677FM04,IR_UNIT,,,,,,,,,,,,,,,,,,
DUNTKG716FM03,IR_UNIT,,,,,,,,,,,,,,,,,,
DUNTKG716FMG1,IR_UNIT,,,,,,,,,,,,,,,,,,
DUNTKG716FMG3,IR_UNIT,,,,,,,,,,,,,,,,,,
DUNTKG811FM02,IR_UNIT,,,,,,,,,,,,,,,,,,
DUNTKG894FM03,IR_UNIT,,,,,,,,,,,,,,,,,,
DUNTKG896FM01,IR_UNIT,,,,,,,,,,,,,,,,,,
DUNTKG896FMG1,IR_UNIT,,,,,,,,,,,,,,,,,,
DUNTKH066FM02,IR_UNIT,,,,,,,,,,,,,,,,,,
DUNTKH135FMA2,IR_UNIT,,,,,,,,,,,,,,,,,,
KSETLA235WJZZ,IR_UNIT,,,,,,,,,,,,,,,,,,
KSETLA586WJZZ,IR_UNIT,,,,,,,,,,,,,,,,,,
KSETLA660WJZZ,IR_UNIT,,,,,,,,,,,,,,,,,,
KSETLA736WJZZ,IR_UNIT,,,,,,,,,,,,,,,,,,
QCNW-R383WJPZ,IR_UNIT,,,,,,,,,,,,,,,,,,
JBTN-B024WJ6A,JOG_KEY_UNIT,,,,,,,,,,,,,,,,,,
KSETLA739WJZZ,JOG_KEY_UNIT,,,,,,,,,,,,,,,,,,
RUNTKC255WJQZ,JOG_KEY_UNIT,,,,,,,,,,,,,,,,,,
B3KUYBG13I,KEY_UNIT,,,,,,,,,,,,,,,,,,
DUNTKG448FM14,KEY_UNIT,,,,,,,,,,,,,,,,,,
DUNTKH065FM04,KEY_UNIT,,,,,,,,,,,,,,,,,,
9JRMY99000002,KEY_UNIT,,,,,,,,,,,,,,,,,,
9JRMYNEW01011,KEY_UNIT,,,,,,,,,,,,,,,,,,
9JRMYNEW01265,KEY_UNIT,,,,,,,,,,,,,,,,,,
9JRMYNEW02007,KEY_UNIT,,,,,,,,,,,,,,,,,,
DUNTKF800FMF7,KEY_UNIT,,,,,,,,,,,,,,,,,,
DUNTKG448FM02,KEY_UNIT,,,,,,,,,,,,,,,,,,
DUNTKG448FM21,KEY_UNIT,,,,,,,,,,,,,,,,,,
DUNTKG778FM01,KEY_UNIT,,,,,,,,,,,,,,,,,,
DUNTKH065FM02,KEY_UNIT,,,,,,,,,,,,,,,,,,
KSETLA117WJZZ,KEY_UNIT,,,,,,,,,,,,,,,,,,
RUNTKC200WJQZ2,KEY_UNIT,,,,,,,,,,,,,,,,,,
CSETFG915WE61,KIT_PART_ASSY,,,,,,,,,,,,,,,,,,
CSETFG916WE61,KIT_PART_ASSY,,,,,,,,,,,,,,,,,,
QCNW-P940WJN1,KM_WIRE,,,,,,,,,,,,,,,,,,
CCABBC222WJ03,KS_BACK_CAB,,,,,,,,,,,,,,,,,,
CHLDZC520WJ61,KS_P_FRAME,,,,,,,,,,,,,,,,,,
CHLDZC654WJ61,KS_P_FRAME,,,,,,,,,,,,,,,,,,
CDAI-A893WJ01,KS_POST,,,,,,,,,,,,,,,,,,
CCOVAF246WJ61,KS_RC_UNIT,,,,,,,,,,,,,,,,,,
CCOVAF676WJ64,KS_RC_UNIT,,,,,,,,,,,,,,,,,,
PLAM-C003SCAA0,LAMP,,,,,,,,,,,,,,,,,,
RLMP-0664TPZZ,LAMP,,,,,,,,,,,,,,,,,,
RLMPLA029WJN1,LAMP,,,,,,,,,,,,,,,,,,
RUNTKB594WJN1,LED_BAR,,,,,,,,,,,,,,,,,,
RUNTKB845WJZZ,LED_BAR,,,,,,,,,,,,,,,,,,
RUNTKB864WJZZ,LED_BAR,,,,,,,,,,,,,,,,,,
RUNTKC034WJZZ,LED_BAR,,,,,,,,,,,,,,,,,,
RUNTKC057WJZZ,LED_BAR,,,,,,,,,,,,,,,,,,
RUNTKC165WJZZ,LED_BAR,,,,,,,,,,,,,,,,,,
RUNTKC242WJZZ,LED_BAR,,,,,,,,,,,,,,,,,,
RUNTKC243WJZZ,LED_BAR,,,,,,,,,,,,,,,,,,
53249000M38,LED_BAR,,,,,,,,,,,,,,,,,,
53255000M0U/L,LED_BAR,,,,,,,,,,,,,,,,,,
5325500M029,LED_BAR,,,,,,,,,,,,,,,,,,
53265000M46,LED_BAR,,,,,,,,,,,,,,,,,,
53275000M01,LED_BAR,,,,,,,,,,,,,,,,,,
53275000M01H,LED_BAR,,,,,,,,,,,,,,,,,,
9ACID5500M01,LED_BAR,,,,,,,,,,,,,,,,,,
9ACID5500M02,LED_BAR,,,,,,,,,,,,,,,,,,
9ACID5500M03,LED_BAR,,,,,,,,,,,,,,,,,,
9ACID550M001,LED_BAR,,,,,,,,,,,,,,,,,,
9ACID550M01/L,LED_BAR,,,,,,,,,,,,,,,,,,
9ACID750M001,LED_BAR,,,,,,,,,,,,,,,,,,
9ACID750M01/L,LED_BAR,,,,,,,,,,,,,,,,,,
9JD1561T00011,LED_BAR,,,,,,,,,,,,,,,,,,
9JDA3PI01W350P,LED_BAR,,,,,,,,,,,,,,,,,,
9JDA3SA01WXX0,LED_BAR,,,,,,,,,,,,,,,,,,
9JDA3SP21QXX0,LED_BAR,,,,,,,,,,,,,,,,,,
9JDA3UA07XXX0,LED_BAR,,,,,,,,,,,,,,,,,,
CLCDTA663WE01,LED_BAR,,,,,,,,,,,,,,,,,,
DUNTKG238FM03,LED_BAR,,,,,,,,,,,,,,,,,,
KSETLA741WJZZ,LED_BAR,,,,,,,,,,,,,,,,,,
RLEDB47073/1L,LED_BAR,,,,,,,,,,,,,,,,,,
RUNTK4460TPZZ,LED_BAR,,,,,,,,,,,,,,,,,,
RUNTK4461TPZZ,LED_BAR,,,,,,,,,,,,,,,,,,
RUNTK4462TPZZ,LED_BAR,,,,,,,,,,,,,,,,,,
RUNTKA596WJ02,LED_BAR,,,,,,,,,,,,,,,,,,
RUNTKA927WJZZ,LED_BAR,,,,,,,,,,,,,,,,,,
RUNTKA928WJZZ,LED_BAR,,,,,,,,,,,,,,,,,,
RUNTKB010WJZZ,LED_BAR,,,,,,,,,,,,,,,,,,
RUNTKB011WJZZ,LED_BAR,,,,,,,,,,,,,,,,,,
RUNTKB129WJZZ,LED_BAR,,,,,,,,,,,,,,,,,,
RUNTKB130WJZZ,LED_BAR,,,,,,,,,,,,,,,,,,
